first_name,last_name,email,phone_number,currency,time_zone,age,gender,address,country
user1,last1,user1@example.com,0869538531,Dollar,3,69,female,77 Park St,USA
user2,last2,user2@example.com,0867505644,Dollar,-5,37,female,96 High St,UK
user3,last3,user3@example.com,0861699225,Euro,-12,44,female,33 Main St,UK
user4,last4,user4@example.com,0866114965,Dollar,-1,51,male,69 High St,Ireland
user5,last5,user5@example.com,0864711016,Pound,6,69,male,18 High St,USA
user6,last6,user6@example.com,0860782189,Dollar,4,87,female,39 Park St,UK
user7,last7,user7@example.com,0869443452,Pound,4,47,male,42 Maple St,USA
user8,last8,user8@example.com,0863709277,Dollar,-3,77,male,75 High St,Ireland
user9,last9,user9@example.com,0868573365,Pound,-11,51,male,0 Main St,Ireland
user10,last10,user10@example.com,0861539575,Euro,6,57,male,20 Main St,UK
user11,last11,user11@example.com,0865720123,Dollar,4,23,female,35 Park St,USA
user12,last12,user12@example.com,0866302748,Dollar,-3,60,female,10 Maple St,Ireland
user13,last13,user13@example.com,0869771275,Pound,-2,88,female,52 High St,Ireland
user14,last14,user14@example.com,0862612884,Pound,7,74,male,56 High St,Ireland
user15,last15,user15@example.com,0863631507,Pound,0,21,female,12 Main St,UK
user16,last16,user16@example.com,0860833895,Euro,-10,20,male,48 Park St,UK
user17,last17,user17@example.com,0862191737,Dollar,2,65,male,52 Park St,USA
user18,last18,user18@example.com,0869083707,Dollar,-3,45,male,51 Main St,UK
user19,last19,user19@example.com,0868372230,Dollar,-7,84,female,20 Maple St,UK
user20,last20,user20@example.com,0866874962,Dollar,7,26,female,77 Main St,Ireland
user21,last21,user21@example.com,0868362206,Dollar,-5,80,male,59 High St,Ireland
user22,last22,user22@example.com,0866281220,Euro,2,63,female,92 Maple St,USA
user23,last23,user23@example.com,0868749969,Pound,-5,33,male,30 High St,UK
user24,last24,user24@example.com,0863133122,Dollar,0,82,male,30 Maple St,UK
user25,last25,user25@example.com,0868052219,Euro,-8,21,female,2 Maple St,Ireland
user26,last26,user26@example.com,0868197552,Euro,-4,31,female,68 High St,USA
user27,last27,user27@example.com,0866483879,Euro,11,84,female,17 High St,Ireland
user28,last28,user28@example.com,0866795397,Euro,8,42,female,91 Park St,UK
user29,last29,user29@example.com,0864266880,Dollar,-11,23,male,2 Park St,USA
user30,last30,user30@example.com,0863523206,Pound,8,20,female,86 Maple St,USA
